id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020190801,2019/08/01,2330,台積電,257.50,257.50,255.50,256.50,30018
231720190801,2019/08/01,2317,鴻海,77.80,78.40,77.60,77.90,31383
130120190801,2019/08/01,1301,台塑,100.00,100.50,99.10,99.50,7374
245420190801,2019/08/01,2454,聯發科,318.00,327.50,314.00,314.00,24479
130320190801,2019/08/01,1303,南亞,70.80,70.90,70.60,70.70,7004
241220190801,2019/08/01,2412,中華電,107.50,108.00,107.00,107.00,7028
121620190801,2019/08/01,1216,統一,78.30,78.30,77.10,77.10,13926
300820190801,2019/08/01,3008,大立光,4235.00,4285.00,4175.00,4225.00,443
289120190801,2019/08/01,2891,中信金,20.25,20.30,20.20,20.30,24675
132620190801,2019/08/01,1326,台化,94.20,94.70,93.50,93.90,6948
230820190801,2019/08/01,2308,台達電,152.50,155.50,152.00,153.00,11153
288220190801,2019/08/01,2882,國泰金,40.55,40.70,40.45,40.50,15173
288120190801,2019/08/01,2881,富邦金,43.00,43.00,42.80,42.90,11365
288620190801,2019/08/01,2886,兆豐金,31.65,31.95,31.65,31.65,25004
200220190801,2019/08/01,2002,中鋼,23.95,23.95,23.80,23.80,17996
288420190801,2019/08/01,2884,玉山金,25.80,25.85,25.60,25.60,39779
289220190801,2019/08/01,2892,第一金,23.20,23.25,23.05,23.10,15634
110120190801,2019/08/01,1101,台泥,44.50,44.55,44.00,44.05,30143
288520190801,2019/08/01,2885,元大金,17.30,17.50,17.30,17.35,18592
371120190801,2019/08/01,3711,日月光投控,69.00,70.80,68.90,69.40,9746
304520190801,2019/08/01,3045,台灣大,109.00,109.50,108.50,108.50,3757
588020190801,2019/08/01,5880,合庫金,20.90,20.95,20.80,20.85,19826
288020190801,2019/08/01,2880,華南金,21.80,21.85,21.60,21.60,15382
291220190801,2019/08/01,2912,統一超,299.00,299.00,298.00,298.00,933
587620190801,2019/08/01,5876,上海商銀,50.60,51.00,50.00,50.20,7055
247420190801,2019/08/01,2474,可成,228.50,232.50,228.00,232.00,2687
220720190801,2019/08/01,2207,和泰車,441.50,449.00,435.00,449.00,620
238220190801,2019/08/01,2382,廣達,56.60,56.90,56.00,56.00,10912
230320190801,2019/08/01,2303,聯電,13.65,13.65,13.30,13.40,38617
235720190801,2019/08/01,2357,華碩,216.50,218.00,214.50,214.50,2680
587120190801,2019/08/01,5871,中租-KY,131.00,133.50,130.00,133.00,4236
650520190801,2019/08/01,6505,台塑化,105.50,106.00,105.00,105.00,1729
288720190801,2019/08/01,2887,台新金,14.55,14.60,14.45,14.45,21820
289020190801,2019/08/01,2890,永豐金,12.35,12.40,12.25,12.25,23396
140220190801,2019/08/01,1402,遠東新,29.45,29.65,29.20,29.25,10947
288320190801,2019/08/01,2883,開發金,9.22,9.25,9.21,9.22,21373
280120190801,2019/08/01,2801,彰銀,21.75,21.75,21.65,21.65,9041
490420190801,2019/08/01,4904,遠傳,71.20,71.60,71.20,71.40,2189
110220190801,2019/08/01,1102,亞泥,41.45,41.70,41.20,41.40,8384
493820190801,2019/08/01,4938,和碩,50.50,51.40,50.40,50.80,7399
232720190801,2019/08/01,2327,國巨,264.50,269.00,263.50,266.00,5521
990420190801,2019/08/01,9904,寶成,38.00,38.25,37.55,37.55,6189
239520190801,2019/08/01,2395,研華,260.00,263.50,260.00,262.50,540
230120190801,2019/08/01,2301,光寶科,44.15,46.45,44.15,46.25,27297
263320190801,2019/08/01,2633,台灣高鐵,41.00,41.60,41.00,41.50,5773
240920190801,2019/08/01,2409,友達,8.17,8.17,8.10,8.10,62114
991020190801,2019/08/01,9910,豐泰,207.00,209.50,207.00,207.00,618
210520190801,2019/08/01,2105,正新,39.75,39.90,39.35,39.55,4609
282320190801,2019/08/01,2823,中壽,25.60,25.70,25.10,25.10,12285
240820190801,2019/08/01,2408,南亞科,72.00,74.10,71.50,74.10,23291
