2330,台積電,半導體業
2317,鴻海,其他電子業
1301,台塑,塑膠工業
2454,聯發科,半導體業
1303,南亞,塑膠工業
2412,中華電,通信網路業
1216,統一,食品工業
3008,大立光,光電業
2891,中信金,金融保險業
1326,台化,塑膠工業
2308,台達電,電子零組件業
2882,國泰金,金融保險業
2881,富邦金,金融保險業
2886,兆豐金,金融保險業
2002,中鋼,鋼鐵工業
2884,玉山金,金融保險業
2892,第一金,金融保險業
1101,台泥,水泥工業
2885,元大金,金融保險業
3711,日月光投控,半導體業
3045,台灣大,通信網路業
5880,合庫金,金融保險業
2880,華南金,金融保險業
2912,統一超,貿易百貨業
5876,上海商銀,金融保險業
2474,可成,其他電子業
2207,和泰車,汽車工業
2382,廣達,電腦及週邊設備業
2303,聯電,半導體業
2357,華碩,電腦及週邊設備業
5871,中租-KY,其他業
6505,台塑化,油電燃氣業
2887,台新金,金融保險業
2890,永豐金,金融保險業
1402,遠東新,紡織纖維
2883,開發金,金融保險業
2801,彰銀,金融保險業
4904,遠傳,通信網路業
1102,亞泥,水泥工業
4938,和碩,電腦及週邊設備業
2327,國巨,電子零組件業
9904,寶成,其他業
2395,研華,電腦及週邊設備業
2301,光寶科,電腦及週邊設備業
2633,台灣高鐵,航運業
2409,友達,光電業
9910,豐泰,其他業
2105,正新,橡膠工業
2823,中壽,金融保險業
2408,南亞科,半導體業
